id	type	name	description	target	belongs_to	pc	ts_pc	PC3	VCAP	A375	A549	HA1E	HCC515	HT29	MCF7	HEPG2	summary
BRD-A79768653	CP	sirolimus	mTOR inhibitor, CCR expression inhibitor, cell cycle inhibitor, proteasome inhibitor, protein kinase inhibitor, T cell inhibitor	MTOR, FKBP1A, CCR5, FGF2		0.00, 0.00	0.92, 0.30	-66.50	-98.98	-99.88	-89.52	-99.02	-99.12	-81.13	-89.87	-55.09	-98.13
BRD-A45498368	CP	WYE-125132	mTOR inhibitor, PI3K inhibitor	MTOR, PIK3CA	MTOR inhibitor	0.00, 0.00	1.59, 0.50	-99.64	-95.25	-92.75	-99.68	-99.81	-34.16	-70.91	-66.34	-42.15	-98.63
BRD-K64052750	CP	gefitinib	EGFR inhibitor	EGFR, CYP2C19	EGFR inhibitor	0.00, 0.00	1.10, 0.50	86.36	35.51	33.05	-90.17	-72.39	-35.38	73.60	17.46	40.83	10.46
ccsbBroad304_07923	OE	LSM5	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)			0.00, 0.00	0.76, 0.25	-74.13	62.77	-42.70	-89.71	57.60	-29.19	-99.94	71.30	42.57	29.57
ccsbBroad304_09358	OE	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1-like			20.00, 20.00	1.05, 0.26	-17.33	-79.15	53.41	28.59	-45.91	-71.09	99.98	-63.37	99.84	-9.96
ccsbBroad304_02332	OE	MBNL2	Zinc fingers, CCCH-type domain containing, muscleblind-like 2 (Drosophila)			0.00, 0.00	1.24, 0.36	-74.16	35.48	24.72	-98.59	82.83	-52.15	-20.86	83.66	-90.25	-10.11
ccsbBroad304_04271	OE	MXD3	Basic helix-loop-helix proteins, MAX dimerization protein 3			20.00, 20.00	1.27, 0.35	79.15	97.95	-73.24	-78.68	40.76	-99.97	99.86	-92.01	-99.26	-97.02
ccsbBroad304_01067	OE	NDUFA7	Mitochondrial respiratory chain complex / Complex I, NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa			0.00, 0.00	1.38, 0.49	43.31	63.19	-74.78	-79.42	-30.82	-33.67	-96.91	-75.58	21.99	-76.99
ccsbBroad304_12008	OE	NLK	nmo subfamily, nemo-like kinase			0.00, 0.00	0.92, 0.27	-21.01	91.36	-75.23	-72.49	28.90	27.67	80.50	-63.90	47.75	13.65
ccsbBroad304_01927	OE	NR0B2	DAX-like receptors, nuclear receptor subfamily 0, group B, member 2			10.00, 10.00	1.06, 0.28	-99.21	-91.09	51.86	33.18	39.85	99.60	39.04	-98.99	-98.82	-99.30
ccsbBroad304_02026	OE	NRP1	CD molecules, neuropilin 1			40.00, 40.00	1.73, 0.45	99.59	89.97	99.71	29.85	92.97	99.97	36.21	86.06	64.79	99.81
ccsbBroad304_08183	OE	NSDHL	Short chain dehydrogenase/reductase superfamily / Extended SDR fold, NAD(P) dependent steroid dehydrogenase-like			10.00, 10.00	0.91, 0.17	-31.87	50.36	-72.92	30.94	28.46	98.19	56.67	-30.46	-99.89	3.66
ccsbBroad304_06681	OE	P2RY2	GPCR / Class A : Purinergic receptors, P2Y, purinergic receptor P2Y, G-protein coupled, 2		Purinergic receptors P2Y GOF	0.00, 0.00	2.13, 0.52	88.13	-50.81	-35.13	50.50	-53.12	-99.49	-99.51	-86.19	-99.15	-98.09
ccsbBroad304_02484	OE	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase			50.00, 10.00	1.09, 0.36	-42.30	78.70	99.02	96.04	37.33	46.43	10.23	97.15	95.28	97.41
ccsbBroad304_01832	OE	PAX8	Paired boxes, paired box 8			0.00, 0.00	1.02, 0.15	-70.15	44.24	74.39	36.14	-89.49	-45.31	-88.72	-99.67	-99.97	-97.87
ccsbBroad304_04399	OE	PGBD1	piggyBac transposable element derived 1			0.00, 0.00	0.93, 0.23	-60.92	90.04	36.74	-25.56	31.45	94.61	-42.51	-96.97	-46.66	-12.10
ccsbBroad304_01183	OE	PGD	phosphogluconate dehydrogenase			10.00, 10.00	1.01, 0.25	-35.38	-25.97	-73.62	-83.24	-46.67	-89.79	-84.10	-30.24	99.10	-62.78
ccsbBroad304_08170	OE	PIK3R4	Phosphatidylinositol kinases, phosphoinositide-3-kinase, regulatory subunit 4			0.00, 0.00	1.19, 0.39	59.86	-30.79	20.06	15.07	-97.82	42.30	-24.36	-36.73	-99.84	3.70
ccsbBroad304_04243	OE	PLA2G12A	Phospholipase A2, phospholipase A2, group XIIA			10.00, 10.00	0.94, 0.27	41.27	99.52	56.03	-53.66	-42.65	39.15	-54.11	21.02	20.60	11.80
ccsbBroad304_02825	OE	POLA2	DNA polymerases, polymerase (DNA directed), alpha 2 (70kD subunit)			40.00, 30.00	1.53, 0.36	91.04	98.53	42.96	-29.75	99.91	43.01	99.98	-77.39	-43.38	96.62
ccsbBroad304_01242	OE	POLR2I	RNA polymerase subunits, polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa			10.00, 0.00	0.64, 0.26	97.39	90.28	-24.36	88.86	-33.73	45.96	-28.88	-97.46	-47.31	35.26
ccsbBroad304_01261	OE	PPP1R8	Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits, protein phosphatase 1, regulatory subunit 8			10.00, 10.00	1.26, 0.34	98.59	54.35	94.68	-5.69	35.71	78.53	29.73	-98.83	90.91	93.51
ccsbBroad304_01277	OE	PRKAB2	AMPK subfamily, protein kinase, AMP-activated, beta 2 non-catalytic subunit			10.00, 10.00	1.03, 0.33	-82.56	-41.67	15.63	-29.42	-39.09	47.31	-28.17	99.94	82.89	7.04
ccsbBroad304_07632	OE	PROCR	CD molecules, protein C receptor, endothelial			0.00, 0.00	1.68, 0.56	69.94	-66.10	69.71	-39.53	94.10	30.04	-64.45	-98.31	58.62	-47.25
ccsbBroad304_02548	OE	PROKR1	GPCR / Class A : Prokineticin receptors, prokineticin receptor 1			10.00, 10.00	1.20, 0.33	98.04	94.76	-52.79	-82.08	-75.28	-39.85	88.41	40.24	72.88	80.28
ccsbBroad304_01320	OE	PSMD4	Proteasome (prosome, macropain) subunits, proteasome (prosome, macropain) 26S subunit, non-ATPase, 4			10.00, 10.00	0.68, 0.13	37.85	-40.07	90.71	-37.08	-38.58	99.91	-24.28	-70.66	-58.06	-19.29
ccsbBroad304_12106	OE	PXK	Slob family, PX domain containing serine/threonine kinase			0.00, 0.00	1.19, 0.39	-44.80	70.13	-90.79	-39.50	31.63	46.50	-36.36	-32.91	-63.65	-23.63
ccsbBroad304_01356	OE	QDPR	Short chain dehydrogenase/reductase superfamily / Atypical members, quinoid dihydropteridine reductase			10.00, 10.00	1.10, 0.34	-47.72	-99.91	26.80	-41.97	43.86	98.42	-28.02	-37.65	29.45	-11.54
ccsbBroad304_02009	OE	RAB11A	RAB, member RAS oncogene, RAB11A, member RAS oncogene family			10.00, 0.00	0.98, 0.31	24.38	61.74	76.06	-7.09	79.37	95.61	-42.76	-48.54	-11.52	50.51
ccsbBroad304_02601	OE	RAB31	RAB, member RAS oncogene, RAB31, member RAS oncogene family			10.00, 10.00	0.88, 0.32	-89.80	-32.99	-56.00	-32.58	-59.71	-33.45	36.43	99.93	-60.05	-33.34
ccsbBroad304_04465	OE	RERG	RAS-like, estrogen-regulated, growth inhibitor			10.00, 10.00	0.89, 0.28	50.28	69.53	40.15	58.12	85.38	65.93	99.58	-93.66	47.08	57.96
ccsbBroad304_01401	OE	RIT1	Ras-like without CAAX 1			0.00, 0.00	0.91, 0.31	44.44	-77.47	-85.30	-44.84	73.54	-24.91	85.07	-76.02	30.06	-35.56
ccsbBroad304_11324	OE	RPS6KA4	MSK subfamily, ribosomal protein S6 kinase, 90kDa, polypeptide 4			10.00, 10.00	0.98, 0.27	99.69	73.83	-99.72	57.08	93.57	-58.57	69.88	71.25	-48.00	56.61
ccsbBroad304_02738	OE	RRS1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)			10.00, 10.00	0.76, 0.15	79.86	94.95	98.06	-96.69	-62.95	-27.37	74.65	58.58	-42.00	77.98
ccsbBroad304_07277	OE	RTCD1	RNA terminal phosphate cyclase domain 1			0.00, 0.00	1.30, 0.41	30.58	-83.24	-28.90	-99.69	-16.72	-40.52	21.55	-70.31	53.98	-21.41
ccsbBroad304_02709	OE	SCMH1	Sterile alpha motif (SAM) domain containing, sex comb on midleg homolog 1 (Drosophila)			20.00, 20.00	1.34, 0.41	73.79	-55.88	-37.15	-33.05	98.38	99.40	54.58	-56.04	66.14	69.87
ccsbBroad304_08532	OE	SIRPG	Immunoglobulin superfamily / C1-set domain containing, signal-regulatory protein gamma			0.00, 0.00	0.73, 0.22	88.87	91.14	-65.25	64.28	-99.98	62.66	-32.79	60.47	-38.16	34.71
ccsbBroad304_02761	OE	SIRT3	Histone deacetylases (HDACs), sirtuin 3		Sirtuins GOF	20.00, 10.00	0.81, 0.23	28.08	99.18	38.39	26.69	79.89	-27.51	73.01	-9.70	95.95	63.02
ccsbBroad304_06975	OE	SMARCC2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2			10.00, 0.00	1.43, 0.35	97.03	-42.74	-95.39	52.06	58.67	43.70	89.47	51.25	-99.15	49.97
ccsbBroad304_05425	OE	SNAI3	Snail homologs, snail homolog 3 (Drosophila)			10.00, 0.00	1.08, 0.31	19.68	-50.61	78.63	78.71	43.26	-35.36	-70.46	95.58	39.76	33.79
ccsbBroad304_01560	OE	SNAPC1	small nuclear RNA activating complex, polypeptide 1, 43kDa			10.00, 10.00	1.31, 0.44	22.71	42.71	99.58	-45.70	-34.58	-52.25	-51.93	61.29	69.64	10.18
ccsbBroad304_01563	OE	SNCA	Parkinson disease, synuclein, alpha (non A4 component of amyloid precursor)			0.00, 0.00	1.11, 0.28	59.86	-94.36	-90.41	-56.90	63.31	54.53	-39.31	55.65	-66.42	-56.69
ccsbBroad304_01579	OE	SOX2	SRY (sex determining region Y)-boxes, SRY (sex determining region Y)-box 2			0.00, 0.00	3.73, 1.18	-99.90	-96.86	-47.72	-34.10	-99.56	-88.45	-83.54	-99.93	-52.34	-99.58
ccsbBroad304_10437	OE	STMN1	stathmin 1			0.00, 0.00	0.94, 0.23	31.68	60.34	-16.84	-97.30	85.72	43.88	35.96	-58.19	24.93	9.10
ccsbBroad304_00313	OE	TBCB	tubulin folding cofactor B			10.00, 10.00	0.66, 0.28	99.75	70.15	-96.78	47.55	-53.46	-27.07	-53.94	-82.14	-27.92	-33.63
ccsbBroad304_01673	OE	TIMP3	TIMP metallopeptidase inhibitor 3			10.00, 10.00	0.92, 0.26	-91.08	-48.45	-42.95	-93.27	55.53	99.60	-26.64	-77.76	-36.47	-44.41
ccsbBroad304_01684	OE	TNF	Tumor necrosis factor (ligand) superfamily, tumor necrosis factor			0.00, 0.00	1.17, 0.32	31.18	-61.50	-8.87	-97.14	-99.87	-93.70	-93.62	-94.97	-61.12	-96.62
ccsbBroad304_01701	OE	TPI1	triosephosphate isomerase 1			10.00, 10.00	1.13, 0.24	-65.84	38.68	-70.21	99.59	28.86	-62.57	-70.16	-30.64	-51.09	-45.47
ccsbBroad304_02415	OE	TUBB3	Tubulins, tubulin, beta 3			0.00, 0.00	1.22, 0.40	-28.34	85.64	-98.82	-96.97	-58.59	-99.40	83.70	-94.22	-37.96	-95.79
ccsbBroad304_02205	OE	WTAP	Wilms tumor 1 associated protein			10.00, 10.00	1.63, 0.56	-55.73	-24.48	-36.57	-99.82	40.96	98.13	-99.49	44.75	54.21	-20.32
ccsbBroad304_13985	OE	ZNF200	Zinc fingers, C2H2-type, zinc finger protein 200			10.00, 10.00	0.86, 0.22	-83.12	72.31	-81.55	-83.74	-48.62	-70.55	98.90	-32.79	-39.33	-52.68
ccsbBroad304_09413	OE	ZNF554	Zinc fingers, C2H2-type, zinc finger protein 554			10.00, 10.00	0.92, 0.26	93.17	-47.70	-62.87	11.01	99.33	-99.94	75.09	-60.13	77.43	70.81
ccsbBroad304_09344	OE	ZNF764	Zinc fingers, C2H2-type, zinc finger protein 764			0.00, 0.00	1.17, 0.30	23.02	-57.46	-37.72	-78.91	-45.88	-87.21	-95.46	-72.02	58.74	-46.60
ccsbBroad304_03506	OE	AURKAIP1	aurora kinase A interacting protein 1			0.00, 0.00	1.43, 0.47	90.82	-38.74	39.10	-37.20	56.69	-49.89	59.05	-99.99	81.79	45.49
ccsbBroad304_01992	OE	B4GALT3	Beta 4-glycosyltransferases, UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3			0.00, 0.00	1.14, 0.24	27.73	-38.27	-35.70	53.09	-38.35	-40.06	-42.68	63.11	78.18	3.70
ccsbBroad304_03433	OE	DDIT4	DNA-damage-inducible transcript 4			10.00, 10.00	0.83, 0.15	99.95	-64.64	94.83	-92.23	-99.24	54.31	-41.28	-78.61	-90.98	-79.14
ccsbBroad304_02618	OE	DIDO1	Zinc fingers, PHD-type, death inducer-obliterator 1			0.00, 0.00	1.03, 0.26	39.84	39.53	-24.23	45.50	29.96	92.76	93.58	-47.39	-69.67	19.21
ccsbBroad304_08167	OE	DNTTIP2	deoxynucleotidyltransferase, terminal, interacting protein 2			10.00, 10.00	0.88, 0.22	91.63	-65.32	-19.08	-81.07	99.98	50.51	44.10	92.55	27.29	52.59
ccsbBroad304_00459	OE	DPYD	dihydropyrimidine dehydrogenase			10.00, 10.00	1.05, 0.33	-24.62	35.55	-74.18	-59.02	27.62	99.87	28.14	-55.04	55.21	7.44
ccsbBroad304_03510	OE	FKBP14	EF-hand domain containing, FK506 binding protein 14, 22 kDa			20.00, 0.00	0.98, 0.32	-55.26	-91.30	97.06	-98.18	-55.09	-60.37	95.80	79.51	-40.32	-26.94
ccsbBroad304_00573	OE	FKBP4	Tetratricopeptide (TTC) repeat domain containing, FK506 binding protein 4, 59kDa			20.00, 10.00	0.82, 0.25	37.55	96.50	-67.14	-28.47	-48.28	65.18	97.63	-38.66	-39.01	30.24
ccsbBroad304_07887	OE	GCAT	glycine C-acetyltransferase			0.00, 0.00	2.08, 0.57	31.80	41.35	-99.88	-24.66	-68.21	-88.64	34.29	-64.17	-91.56	-91.28
ccsbBroad304_06301	OE	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)			0.00, 0.00	1.03, 0.32	77.92	85.15	87.67	-40.02	-94.58	-99.09	82.48	88.67	-50.58	84.20
ccsbBroad304_06335	OE	GSTP1	Glutathione S-transferases, glutathione S-transferase pi 1			0.00, 0.00	1.13, 0.34	90.80	-94.60	-27.17	-73.25	40.99	-65.55	-21.63	-37.01	85.47	-16.50
ccsbBroad304_06336	OE	GSTT1	Glutathione S-transferases / Soluble, glutathione S-transferase theta 1			0.00, 0.00	0.76, 0.30	-43.74	60.52	57.78	-98.38	-33.80	56.50	93.41	-37.58	-99.61	17.72
ccsbBroad304_06339	OE	GTF2F2	General transcription factors, general transcription factor IIF, polypeptide 2, 30kDa			20.00, 10.00	1.73, 0.66	29.73	52.54	36.55	49.34	95.22	61.18	-46.43	-98.96	99.86	35.40
ccsbBroad304_06340	OE	GTF2H3	General transcription factors, general transcription factor IIH, polypeptide 3, 34kDa			10.00, 10.00	0.83, 0.32	99.98	44.39	-78.33	-49.77	-69.38	-86.34	41.17	-99.95	29.21	-72.20
ccsbBroad304_00782	OE	HPGD	Prostaglandin synthases, hydroxyprostaglandin dehydrogenase 15-(NAD)			10.00, 0.00	0.89, 0.28	95.44	-92.06	-72.91	92.69	69.33	46.38	71.02	64.30	44.40	60.45
ccsbBroad304_00783	OE	HPRT1	hypoxanthine phosphoribosyltransferase 1			0.00, 0.00	1.30, 0.32	-23.67	67.32	-90.07	-47.57	91.14	-52.66	-71.68	-65.68	94.03	-34.14
ccsbBroad304_00818	OE	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha			0.00, 0.00	0.95, 0.31	-31.23	-36.33	-28.76	89.52	76.61	50.86	31.81	-82.21	-35.39	13.13
ccsbBroad304_00860	OE	IL13	Interleukins and interleukin receptors, interleukin 13		Interleukins GOF	0.00, 0.00	0.80, 0.27	28.03	-58.80	-35.51	-99.48	-34.05	49.70	-83.13	-38.88	-35.15	-37.49
ccsbBroad304_00845	OE	IL1RAP	Immunoglobulin superfamily / Immunoglobulin-like domain containing, interleukin 1 receptor accessory protein			10.00, 0.00	1.08, 0.26	-99.63	83.82	-72.07	-29.21	-31.76	-60.59	68.59	35.75	96.48	-14.08
ccsbBroad304_08230	OE	IRAK4	Interleukin-1 receptor-associated kinase (IRAK) family, interleukin-1 receptor-associated kinase 4			20.00, 20.00	0.76, 0.26	90.73	50.26	98.36	66.24	-71.39	99.91	55.17	39.24	52.42	57.81
ccsbBroad304_02249	OE	KIAA0494	KIAA0494			0.00, 0.00	1.23, 0.30	-96.30	-94.40	-98.67	-46.27	-50.41	48.04	-88.29	-88.38	62.37	-98.37
ccsbBroad304_07511	OE	KIF14	Kinesins, kinesin family member 14			20.00, 20.00	0.98, 0.30	58.64	-89.76	84.76	94.65	99.94	-39.03	11.12	-35.70	97.66	86.34
ccsbBroad304_01302	OE	KLK6	Chymotrypsin, kallikrein-related peptidase 6		Serine proteases GOF	10.00, 10.00	1.26, 0.33	-68.46	-95.10	73.45	-98.03	-89.03	57.94	-99.11	64.47	98.78	-96.32
ccsbBroad304_06494	OE	KLRC1	CD molecules, killer cell lectin-like receptor subfamily C, member 1			10.00, 0.00	0.86, 0.26	46.09	-45.19	-85.56	-23.74	-56.59	95.44	-53.38	50.16	37.30	-13.73
ccsbBroad304_07605	OE	LYPLA1	lysophospholipase I			0.00, 0.00	1.27, 0.25	76.63	79.06	-84.03	11.71	46.16	-43.93	-95.39	94.84	-97.10	32.24
ccsbBroad304_00348	OE	MAP3K8	MAPKKK:STE-unique family, mitogen-activated protein kinase kinase kinase 8			0.00, 0.00	1.95, 0.65	-71.57	-98.00	-75.17	-47.94	30.72	-67.25	-24.72	-98.29	-77.37	-71.86
ccsbBroad304_01952	OE	MAPKAPK5	MAPKAPK subfamily, mitogen-activated protein kinase-activated protein kinase 5			0.00, 0.00	1.08, 0.32	18.60	-97.92	-65.65	-22.89	-52.41	-73.41	37.38	42.81	-24.87	-30.49
ccsbBroad304_01443	OE	MRPL12	Mitochondrial ribosomal proteins / large subunits, mitochondrial ribosomal protein L12			0.00, 0.00	0.98, 0.26	61.76	47.76	23.20	-26.32	-29.94	-82.73	-91.72	-91.01	18.73	-7.51
ccsbBroad304_06619	OE	NCF2	Tetratricopeptide (TTC) repeat domain containing, neutrophil cytosolic factor 2			10.00, 10.00	1.11, 0.33	9.44	32.35	-94.57	65.49	-32.13	98.06	-56.65	32.59	42.44	9.12
ccsbBroad304_05590	OE	NOTCH2NL	notch 2 N-terminal like			10.00, 10.00	0.86, 0.20	25.16	-52.24	-49.51	-98.38	-62.25	98.43	26.46	94.35	74.92	9.79
ccsbBroad304_07920	OE	NUP62	nucleoporin 62kDa			0.00, 0.00	0.95, 0.31	-47.20	34.64	-71.80	35.69	-29.85	-65.07	-87.99	45.29	-33.34	-29.58
ccsbBroad304_14439	OE	OPN5	GPCR / Class A : Opsin receptors, opsin 5			10.00, 10.00	1.24, 0.27	99.03	94.25	-99.75	-86.69	-19.62	-38.70	-72.73	-99.43	73.04	-78.37
ccsbBroad304_01247	OE	POU2AF1	POU class 2 associating factor 1			0.00, 0.00	0.91, 0.31	36.87	54.08	-94.69	-99.53	-81.32	-72.62	41.36	48.36	30.91	-71.25
ccsbBroad304_06402	OE	PRMT2	Protein arginine N-methyltransferases, protein arginine methyltransferase 2			10.00, 10.00	0.95, 0.34	49.71	75.07	-99.59	-98.35	-55.89	-76.45	-24.55	99.31	70.99	-50.92
ccsbBroad304_02632	OE	PTP4A3	Protein tyrosine phosphatases, protein tyrosine phosphatase type IVA, member 3			30.00, 20.00	1.03, 0.27	-85.67	96.74	7.04	-74.40	36.13	99.68	-78.19	98.54	33.04	71.55
ccsbBroad304_01970	OE	RFXANK	Ankyrin repeat domain containing, regulatory factor X-associated ankyrin-containing protein			10.00, 0.00	1.19, 0.34	-87.49	96.38	-40.72	-56.93	32.46	-88.26	-46.01	-99.93	-25.98	-59.98
ccsbBroad304_01411	OE	RORC	Retinoic acid-related orphans, RAR-related orphan receptor C			20.00, 20.00	1.25, 0.31	-99.89	76.55	-99.87	26.41	-68.17	99.97	-39.68	-72.30	99.21	-80.49
ccsbBroad304_01471	OE	S100A1	EF-hand domain containing, S100 calcium binding protein A1			10.00, 10.00	1.74, 0.44	27.75	-68.97	-48.59	43.58	-88.83	97.88	-46.33	-39.55	-45.82	-30.93
ccsbBroad304_01514	OE	SDHC	Mitochondrial respiratory chain complex / Complex II, succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa			10.00, 0.00	1.22, 0.32	78.62	-79.22	-83.80	-94.24	-95.03	52.37	-99.32	95.05	72.04	-96.53
ccsbBroad304_06722	OE	SERPINB6	Serine (or cysteine) peptidase inhibitors, serpin peptidase inhibitor, clade B (ovalbumin), member 6			0.00, 0.00	0.88, 0.19	25.39	38.00	-24.98	-25.75	-88.49	-44.47	-18.01	-40.80	-98.61	-7.37
ccsbBroad304_02063	OE	SLC25A14	Mitochondrial uncoupling proteins, solute carrier family 25 (mitochondrial carrier, brain), member 14			0.00, 0.00	0.74, 0.19	-49.61	-35.66	66.61	-86.84	-43.32	-64.58	-40.75	74.38	-80.81	-25.38
ccsbBroad304_05818	OE	SLC25A5	Mitochondrial nucleotide transporter subfamily, solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5			10.00, 10.00	0.99, 0.25	-27.36	-36.65	-17.75	43.29	45.01	82.16	-70.72	99.98	-34.61	4.77
ccsbBroad304_01580	OE	SOX10	SRY (sex determining region Y)-boxes, SRY (sex determining region Y)-box 10			0.00, 0.00	1.52, 0.50	-61.80	44.85	90.62	55.56	-99.95	-97.09	44.37	-99.78	-57.81	-94.09
ccsbBroad304_05152	OE	SSBP4	single stranded DNA binding protein 4			0.00, 0.00	1.17, 0.34	-7.02	-33.72	-99.81	-97.45	-37.66	-99.94	-98.24	-58.11	30.30	-98.15
ccsbBroad304_01615	OE	SULT1A2	Sulfotransferases, cytosolic, sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2			20.00, 0.00	0.73, 0.23	97.32	-37.22	29.56	40.32	-32.45	54.14	69.88	-81.00	97.33	35.25
ccsbBroad304_02213	OE	TRAF4	RING-type (C3HC4) zinc fingers, TNF receptor-associated factor 4			10.00, 10.00	1.08, 0.35	99.13	-52.45	-83.53	28.89	-59.40	-37.35	-38.41	-97.23	-24.77	-42.73
ccsbBroad304_03418	OE	ZFAND6	Zinc fingers, AN1-type domain containing, zinc finger, AN1-type domain 6			0.00, 0.00	1.06, 0.31	-99.98	88.21	-36.19	-97.74	-99.71	-85.65	-91.43	73.17	28.74	-97.62
ccsbBroad304_09590	OE	ZFP28	Zinc fingers, C2H2-type, zinc finger protein 28 homolog (mouse)			10.00, 10.00	1.11, 0.36	-19.67	73.52	-27.06	99.94	-33.66	-61.29	-42.82	38.05	-99.80	-15.14
ccsbBroad304_04903	OE	ZNF786	Zinc fingers, C2H2-type, zinc finger protein 786			10.00, 0.00	1.02, 0.36	95.45	-99.78	-53.92	73.96	46.67	49.10	81.04	37.66	-99.86	50.75
ccsbBroad304_05936	OE	CASP2	Caspases, caspase 2, apoptosis-related cysteine peptidase			10.00, 10.00	1.51, 0.39	34.04	99.03	-63.94	90.75	-67.46	-97.91	-11.44	-97.63	82.79	-83.93
ccsbBroad304_06253	OE	GALT	galactose-1-phosphate uridylyltransferase			10.00, 0.00	1.22, 0.36	96.83	38.64	-87.99	93.53	71.95	-37.43	-72.33	-89.56	70.97	63.31
ccsbBroad304_00722	OE	HSD17B10	Short chain dehydrogenase/reductase superfamily / Classical SDR fold cluster 1, hydroxysteroid (17-beta) dehydrogenase 10			0.00, 0.00	0.58, 0.13	85.61	-65.53	-31.21	30.24	-99.84	-64.22	-67.27	-99.50	87.72	-38.33
ccsbBroad304_06413	OE	HSP90AA1	Heat shock proteins / HSPC, heat shock protein 90kDa alpha (cytosolic), class A member 1			0.00, 0.00	1.00, 0.33	39.31	79.45	-77.65	-73.92	68.98	36.40	-41.01	-64.95	34.40	-15.29
ccsbBroad304_07260	OE	LGR5	GPCR / Class A : Orphans, leucine-rich repeat containing G protein-coupled receptor 5			0.00, 0.00	0.78, 0.24	62.49	-72.18	91.66	-45.82	-34.38	57.39	94.88	-99.81	-29.77	52.98
ccsbBroad304_08217	OE	SCCPDH	saccharopine dehydrogenase (putative)			0.00, 0.00	0.90, 0.24	-27.20	-55.76	-10.22	-44.19	-25.72	62.64	-77.44	-36.30	37.26	-9.00
ccsbBroad304_02394	OE	ZNF267	Zinc fingers, C2H2-type, zinc finger protein 267			0.00, 0.00	0.99, 0.26	-27.89	-31.48	85.48	86.67	-29.72	57.75	39.32	59.23	81.26	49.33
ccsbBroad304_03164	OE	MTERFD1	MTERF domain containing 1			0.00, 0.00	0.89, 0.26	93.84	29.51	94.42	NaN	-74.61	45.93	84.74	-91.04	32.35	83.70
ccsbBroad304_09258	OE	MYLK2	Myosin Light Chain Kinase (MLCK) family, myosin light chain kinase 2			0.00, 0.00	1.23, 0.36	39.14	66.03	-18.03	NaN	69.23	28.27	-30.84	-36.13	48.96	8.06
ccsbBroad304_02040	OE	NAE1	Ubiquitin-like modifier activating enzymes, NEDD8 activating enzyme E1 subunit 1			11.11, 11.11	0.99, 0.30	-42.07	-26.51	90.02	NaN	-99.65	-43.69	99.98	-88.94	-97.74	-74.20
ccsbBroad304_01091	OE	NFIB	nuclear factor I/B			11.11, 11.11	0.99, 0.18	-60.86	99.96	-48.73	NaN	82.61	-18.93	-99.43	-43.58	-99.77	-90.50
ccsbBroad304_06658	OE	NT5E	Adenosine turnover, 5'-nucleotidase, ecto (CD73)			11.11, 11.11	1.58, 0.57	31.97	-98.48	-99.89	NaN	-36.84	99.97	27.87	-34.00	-77.77	-70.44
ccsbBroad304_05142	OE	OLIG3	Basic helix-loop-helix proteins, oligodendrocyte transcription factor 3			11.11, 0.00	0.90, 0.23	-62.86	49.25	-99.89	NaN	96.70	-76.41	-48.28	28.71	-74.17	-63.79
ccsbBroad304_01146	OE	PARN	poly(A)-specific ribonuclease			11.11, 11.11	2.01, 0.59	-41.12	-87.22	-87.15	NaN	31.40	98.45	54.20	-66.41	-26.30	-57.29
ccsbBroad304_06695	OE	PCK2	phosphoenolpyruvate carboxykinase 2 (mitochondrial)			0.00, 0.00	1.19, 0.31	-18.11	38.64	34.24	NaN	-32.86	39.25	-33.91	-34.94	-63.13	-5.60
ccsbBroad304_06708	OE	PDGFRB	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family, platelet-derived growth factor receptor, beta polypeptide		Targets of VEGFR inhibitors GOF	0.00, 0.00	1.17, 0.30	-58.53	-65.17	59.53	NaN	-49.62	40.05	71.92	-32.60	-99.47	-39.41
ccsbBroad304_07249	OE	PIK3R3	Phosphatidylinositol kinases, phosphoinositide-3-kinase, regulatory subunit 3 (gamma)			11.11, 0.00	0.99, 0.22	-65.36	95.15	-89.31	NaN	93.82	47.57	-25.64	77.95	-92.82	50.11
ccsbBroad304_03524	OE	PLEKHJ1	Pleckstrin homology (PH) domain containing, pleckstrin homology domain containing, family J member 1			0.00, 0.00	0.86, 0.25	-86.92	39.10	-99.27	NaN	88.00	34.94	-5.99	-73.19	85.44	-27.44
ccsbBroad304_01240	OE	POLR2F	RNA polymerase subunits, polymerase (RNA) II (DNA directed) polypeptide F			11.11, 11.11	0.93, 0.31	-60.61	-98.19	26.78	NaN	53.71	-83.68	32.86	-46.55	97.60	-36.97
