master_cpd_id	cpd_name	broad_cpd_id	top_test_conc_umol	cpd_status	gene_symbol_of_protein_target	target_or_activity_of_compound	cpd_smiles
362342	navitoclax	BRD-K82746043	33	clinical	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
374747	bexarotene	BRD-K92441787	66	FDA	RXRA;RXRB;RXRG	inhibitor of retinoid X receptors	Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C
374749	nilotinib	BRD-K81528515	66	FDA	ABL1;BCR;KIT	inhibitor of ABL1, BCR, and c-KIT	Cc1cn(cn1)-c1cc(NC(=O)c2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)cc(c1)C(F)(F)F
374750	sunitinib	BRD-K42828737	66	FDA	FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB	inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
374755	bendamustine	BRD-K17068645	66	FDA	NA	DNA alkylator	Cn1c(CCCC(O)=O)nc2cc(ccc12)N(CCCl)CCCl
375219	omacetaxine mepesuccinate	BRD-K76674262	66	FDA	NA	inhibitor of protein translation by preventing protein elongation	COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]1[C@H]2c3cc4OCOc4cc3CCN3CCC[C@]23C=C1OC
375256	CD-437	BRD-K28907958	37	probe	RARG	agonist of retinoic acid receptor gamma	OC(=O)c1ccc2cc(ccc2c1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
375264	SCH-79797	BRD-K17140735	37	probe	F2R	antagonist of proteinase-activated receptor 1 (PAR1)	CC(C)c1ccc(Cn2ccc3c2ccc2nc(NC4CC4)nc(N)c32)cc1
375354	LE-135	BRD-K06593056	66	probe	RARB	antagonist of retinoic acid receptor beta	CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
375366	SKI-II	BRD-K20755323	130	probe	SPHK1	inhibitor of sphingosine kinase 1	Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1
375390	CI-976	BRD-K88544581	270	probe	ACAT1	inhibitor of acetyl-CoA acetyltransferase I	CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC
375435	necrostatin-1	BRD-A36318220	530	probe	RIPK1	inhibitor of receptor-interacting protein kinase 1; inhibitor of the necroptosis cell death pathway	CN1C(=S)NC(Cc2c[nH]c3ccccc23)C1=O
375447	GW-405833	BRD-K10705233	130	probe	CNR2	partial agonist of cannabinoid receptor 2	COc1ccc2n(C(=O)c3cccc(Cl)c3Cl)c(C)c(CCN3CCOCC3)c2c1
375487	AC55649	BRD-K93176058	33	probe	RARB	agonist of retinoic acid receptor beta	CCCCCCCCc1ccc(cc1)-c1ccc(cc1)C(O)=O
375492	RITA	BRD-K00317371	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1
375496	LY-2183240	BRD-K37865504	33	probe	FAAH	inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake	CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1
375560	Ki8751	BRD-K47150025	66	probe	KDR;KIT;PDGFRA	inhibitor of VEGFR2, c-KIT, and PDGFRA	COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
375562	CD-1530	BRD-K25737009	130	probe	RARG	agonist of retinoic acid receptor gamma	OC(=O)c1ccc(cc1)-c1ccc2cc(c(O)cc2c1)C12CC3CC(CC(C3)C1)C2
375564	TPCA-1	BRD-K51575138	66	probe	IKBKB	inhibitor of IKK-2	NC(=O)Nc1sc(cc1C(N)=O)-c1ccc(F)cc1
375594	NSC632839	BRD-K37392901	33	probe	USP13;USP5	inhibitor of ubiquitin isopeptidase	Cc1ccc(C=C2CNCC(=Cc3ccc(C)cc3)C2=O)cc1
375596	pifithrin-mu	BRD-K96799727	33	probe	HSPA1A;HSPA1B;HSPA1L;TP53	inhibitor of p53 binding to mitochondria; inhibitor of HSP70	NS(=O)(=O)C#Cc1ccccc1
375637	SN-38	BRD-A36630025	1.3	probe	TOP1	metabolite of irinotecan; inhibitor of topoisomerase I	CCc1c2Cn3c(cc4c(COC(=O)C4(O)CC)c3=O)-c2nc2ccc(O)cc12
376307	BRD-K80183349	BRD-K80183349	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	CC(=O)N1CCC(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
376693	BRD-K66532283	BRD-K66532283	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	Nc1ccc(cc1NC(=O)C1=CCCC1)-c1cccs1
377381	MK-2206	BRD-K68065987	33	clinical	AKT1	inhibitor of AKT1	NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
385240	triazolothiadiazine	BRD-K05402890	66	probe	PDE4A;PDE4B;PDE4D	inhibitor of phosphdiesterase 4A/B/D	COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
387472	BRD-K66453893	BRD-K66453893	66	GE-active	NA	product of diversity oriented synthesis	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc2ccc(NC(=O)CCC(F)(F)F)cc2CC1=O
389297	BRD-K11533227	BRD-K11533227	66	probe	HDAC1;HDAC2	inhibitor of HDAC1 and HDAC2	CC(=O)NC1CCN(CC1)C(=O)Nc1cc(ccc1N)-c1cccs1
397964	BRD-K27224038	BRD-K27224038	66	GE-active	NA	product of diversity oriented synthesis	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)C2CCOCC2)Oc2ncc(cc2C1=O)C#CC1(O)CCCC1
401251	BRD-K33514849	BRD-K33514849	34	probe	NA	screening hit	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
402775	BRD-K14844214	BRD-K14844214	66	GE-active	NA	product of diversity oriented synthesis	CC(C)CC#Cc1ccc2c(O[C@@H](CN(C)C(=O)c3cnccn3)[C@H](C)CN([C@H](C)CO)S2(=O)=O)c1
404070	BRD1835	BRD-K62801835	130	probe	EZH2	product of diversity oriented synthesis; screening hit	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(O)=O)Oc2cc(ccc2S1(=O)=O)C#CCC1CCCC1
404452	BRD-K41597374	BRD-K41597374	67	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cc(F)ccc2F)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
404566	BRD-K63431240	BRD-K63431240	66	probe	NA	product of diversity oriented synthesis; screening hit	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc3OCOc3c2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccncc1
410270	BRD-K13999467	BRD-K13999467	67	GE-active	NA	product of diversity oriented synthesis	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Cc2ccncc2)Oc2cc(ccc2S1(=O)=O)C#Cc1ccccc1F
410703	BRD-K96970199	BRD-K96970199	66	GE-active	NA	product of diversity oriented synthesis	C\C=C\c1ccc2c(O[C@@H](CN(C)C(=O)c3ccccc3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
411714	brefeldin A	BRD-A31107743	37	probe	ARF1	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1
411716	AGK-2	BRD-K32536677	33	probe	SIRT2	inhibitor of sirtuin 2	Clc1ccc(Cl)c(c1)-c1ccc(\C=C(/C#N)C(=O)Nc2cccc3ncccc23)o1
411717	L-685458	BRD-K87317732	37	probe	APH1A;NCSTN;PSEN1;PSENEN	inhibitor of gamma-secretase	CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
411719	PF-750	BRD-K83213911	270	probe	FAAH	inhibitor of fatty acid amide hydrolase	O=C(Nc1ccccc1)N1CCC(Cc2cnc3ccccc3c2)CC1
411720	triptolide	BRD-A13122391	0.3	clinical	NA	natural product; inhibitor of RNA polymerase II	CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
411722	nutlin-3	BRD-A12230535	150	clinical	MDM2	inhibitor of p53-MDM2 interaction	COc1ccc(C2=NC(C(N2C(=O)N2CCNC(=O)C2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)c(OC(C)C)c1
411724	AA-COCF3	BRD-K07303502	270	probe	FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D	inhibitor of cytosolic phospholipase A2; inhibitor of fatty acid amide hydrolase	CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)C(F)(F)F
411726	16-beta-bromoandrosterone	BRD-K98404142	37	probe	NA	dehydroepiandrosterone (DHEA) analog	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1C[C@H](Br)C2=O
411727	PRL-3 inhibitor I	BRD-K09907482	130	probe	PTP4A3	inhibitor of phosphatase of regenerating liver-3 (PRL3)	Brc1ccc(OCc2ccccc2Br)c(\C=C2\SC(=S)NC2=O)c1
411731	SID 26681509	BRD-K08417745	300	probe	CTSL1	inhibitor of cathepsin L	CCc1ccccc1NC(=O)CSC(=O)NNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
411733	neuronal differentiation inducer III	BRD-K53903639	270	probe	NA	induction of rat HCN cell differentiation as judged by induction of neuronal reporter neuroD activity	O=C(NC1CC1)c1cc(on1)-c1cccs1
411734	NSC 74859	BRD-K40853697	530	probe	STAT3	inhibitor of STAT3	Cc1ccc(cc1)S(=O)(=O)OCC(=O)Nc1ccc(C(O)=O)c(O)c1
411737	bortezomib	BRD-K88510285	0.13	FDA	PSMB1;PSMB2;PSMB5;PSMD1;PSMD2	inhibitor of 26S proteasome	CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
411738	ABT-737	BRD-K56301217	37	clinical	BCL2;BCL2L1;BCL2L2	inhibitor of BCL2, BCL-xL, and BCL-W	CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
411739	zebularine	BRD-A01145011	590	probe	DNMT1	inhibitor of DNA methyltransferases	OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
411742	PI-103	BRD-K67868012	37	probe	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC	inhibitor of DNA-PK, PI3K p110 delta, mTORC1, and catalytic subunits of PI3K	Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1
411749	tubastatin A	BRD-K00627859	33	probe	HDAC6	inhibitor of tubulin deacetylase activity of HDAC6	CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
411770	SR-II-138A	BRD-K11172604	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	CON(C)C(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
411774	neopeltolide	BRD-K62479592	33	probe	NA	inhibitor of cellular respiration	CCC[C@H]1C[C@H](C[C@H](C)C[C@@H]2C[C@H](C[C@H](CC(=O)O1)O2)OC(=O)\C=C/CCc1coc(\C=C/CNC(=O)OC)n1)OC
411792	parthenolide	BRD-K81651477	66	probe	NA	natural product; modulator of ROS; modulator of NF-kappa-B signaling	C\C1=C\CC[C@@]2(C)O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1
411805	Compound 7d-cis	BRD-K61829047	33	probe	XPO1	inhibitor of CRM1-mediated nucleocytoplasmic transport	CCOC(=O)\C=C/n1nnc(n1)-c1cccc(Cl)c1
411808	TG-101348	BRD-K12502280	37	clinical	JAK2	inhibitor of Janus kinase 2	Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(c1)S(=O)(=O)NC(C)(C)C
411809	pevonedistat	BRD-K67844266	37	clinical	NAE1	inhibitor of Nedd-8 activating enzyme	NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12
411814	AZD7545	BRD-K52836380	74	probe	PDK2	inhibitor of pyruvate dehydrogenase kinase 2	CN(C)C(=O)c1ccc(cc1)S(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1
411815	VER-155008	BRD-K32330832	37	probe	HSPA1A;HSPA1B;HSPA1L	inhibitor of HSP70	Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12
411816	ML203	BRD-K80672993	37	probe	PKM	activator of muscle pyruvate kinase (PKM2)	Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
411820	SRT-1720	BRD-K53855319	37	probe	SIRT1	activator of sirtuin-1	O=C(Nc1cc(CN2CCNCC2)cc(c1)-c1nc2ccccc2[nH]1)c1cnc2ccccc2n1
411824	CAY10594	BRD-K61662457	66	probe	PLD2	inhibitor of phospholipase D2	O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1
411827	Compound 1541A	BRD-K30064966	37	probe	CASP3;CASP6;CASP7	activators of executioner procaspases 3, 6, and 7	Oc1cccc2cc(C(=O)Nc3cccc(c3)-c3cn4ccccc4n3)c(=O)oc12
411831	RG-108	BRD-K89391146	270	probe	DNMT1	inhibitor of DNA methyltransferase	OC(=O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O
411832	PAC-1	BRD-K92991072	33	probe	CASP3	activator of procaspase-3	Oc1c(CC=C)cccc1\C=N\NC(=O)CN1CCN(Cc2ccccc2)CC1
411833	pluripotin	BRD-K98538768	33	probe	MAPK1;RASAL1	promoter of embryonic stem cell self-renewal; inhibitor of Ras-GAP and ERK	CN1C(=O)N(Cc2cnc(Nc3cc(C)nn3C)nc12)c1cc(NC(=O)c2cccc(c2)C(F)(F)F)ccc1C
411843	GMX-1778	BRD-K47335880	0.3	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	Clc1ccc(OCCCCCC\N=C(\NC#N)Nc2ccncc2)cc1
411856	avrainvillamide	BRD-K10466330	33	probe	NPM1	natural product; inhibitor of nucleophosmin	CC1(C)Oc2ccc3C4=C[C@@]56NC(=O)[C@]7(CCCN7C5=O)C[C@H]6C(C)(C)C4=[N+]([O-])c3c2C=C1
411859	BMS-536924	BRD-K34581968	37	probe	IGF1R;INSR	inhibitor of insulin-like growth factor 1 receptor (IGF1R) and insulin receptor (INSR)	Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1
411863	gemcitabine	BRD-K15108141	33	FDA	CMPK1;RRM1;TYMS	inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
411865	MST-312	BRD-K19894101	33	probe	TERT	inhibitor of telomerase reverse transcriptase	Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
411867	olaparib	BRD-K02113016	150	clinical	PARP1;PARP2	inhibitor of poly (ADP-ribose) polymerase 1 and 2	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCN(CC1)C(=O)C1CC1
411869	oligomycin A	BRD-A81541225	33	probe	ATP5L2	inhibitor of mitochondrial ATP synthase	CCC1CCC2OC3(CC[C@@H](C)C(C[C@H](C)O)O3)[C@H](C)C(OC(=O)\C=C\[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H](C)C(=O)[C@@](C)(O)[C@H](O)[C@@H](C)C\C=C\C=C\1)[C@H]2C
411874	indisulam	BRD-K17610631	33	clinical	CA9	inhibitor of carbonic anhydrase isoform IX	NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12
414479	BRD-K49290616	BRD-K49290616	66	GE-active	NA	product of diversity oriented synthesis	OC[C@@H]1O[C@@H](CC(=O)NCc2ccncn2)CC[C@H]1NC(=O)c1ccc(F)cc1
415688	BRD-K02492147	BRD-K02492147	66	GE-active	NA	product of diversity oriented synthesis	CN1CCN(CC1)C(=O)C[C@@H]1O[C@H](CO)[C@@H](NS(=O)(=O)c2cccc(F)c2)C=C1
416775	austocystin D	BRD-K25987073	37	probe	NA	natural product; inducer of DNA damage	CC(C)(O)CCc1ccc(O)c2c1oc1cc3O[C@H]4OC=C[C@@]4(O)c3c(O)c1c2=O
416777	SJ-172550	BRD-K93095519	33	probe	MDM2;TP53	inhibitor of p53-MDM2 interaction	CCOc1cc(cc(Cl)c1OCC(=O)OC)\C=C1C(=O)N(N=C/1C)c1ccccc1
416842	BRD-K09587429	BRD-K09587429	66	GE-active	NA	product of diversity oriented synthesis	C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NC(=O)CN2CCOCC2)[C@H](CO)O1)c1ccccc1
417098	pandacostat	BRD-K44741158	33	probe	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8	ONC(=O)\C=C\c1ccc(cc1)C(=O)N\N=C\c1ccc(O)c(O)c1O
417262	BRD-K96431673	BRD-K96431673	66	GE-active	NA	product of diversity oriented synthesis	CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1
417415	cyanoquinoline 11	BRD-K00088062	130	clinical	MAP3K8	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl
417416	tipifarnib-P2	BRD-K62965247	33	probe	FNTA	inhibitor of farnesyltransferase	Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
417417	tipifarnib-P1	BRD-K63195589	33	clinical	FNTA	inhibitor of farnesyltransferase	Cn1cncc1[C@](N)(c1ccc(Cl)cc1)c1ccc2n(C)c(=O)cc(-c3cccc(Cl)c3)c2c1
417451	Compound 23 citrate	BRD-K67112618	33	probe	NA	analog of natural product cortistatin	CN(C)[C@H]1CC[C@H]2[C@@H](CC[C@H]3[C@@H]4CC=C(c5ccc6cnccc6c5)[C@@]4(C)CC[C@H]23)C1
417452	nakiterpiosin	BRD-K38264551	33	probe	NA	natural product; inhibitor of microtubule assembly	C[C@H]1C[C@@H](OC1=O)[C@@H](O)[C@@H](C(Cl)Cl)c1ccc2[C@@H]3C[C@@H](Br)[C@]45O[C@H](C[C@]4(C)[C@H]3C(=O)c2c1C)CO[C@H]5O
417663	CCT036477	BRD-A22997170	33	probe	NA	inhibitor of WNT signaling by blocking beta-catenin transcription	Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1
417818	tamatinib	BRD-K20285085	33	clinical	SYK	inhibitor of spleen tyrosine kinase	COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC
417977	myriocin	BRD-A76279427	33	probe	SPTLC1;SPTLC2;SPTLC3	inhibitor of serine palmitoyltransferase	CCCCCCC(=O)CCCCCC\C=C\C[C@H](O)[C@@H](O)C(N)(CO)C(O)=O
417979	YM-155	BRD-K76703230	1	clinical	BIRC5	inhibitor of survivin expression	COCCn1c2c(C(=O)c3ccccc3C2=O)[n+](Cc2cnccn2)c1C
417981	BMS-754807	BRD-K13049116	33	probe	IGF1R	inhibitor of insulin-like growth factor 1 receptor and insulin receptor	C[C@]1(CCCN1c1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1)C(=O)Nc1ccc(F)nc1
417982	BIBR-1532	BRD-K04623885	270	probe	TERT	inhibitor of telomerase reverse transcriptase	C\C(=C/C(=O)Nc1ccccc1C(O)=O)c1ccc2ccccc2c1
417987	tosedostat	BRD-K92241597	270	clinical	ANPEP;LAP3;NPEPPS	inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N	CC(C)C[C@H]([C@H](O)C(=O)NO)C(=O)N[C@H](C(=O)OC1CCCC1)c1ccccc1
418038	neratinib	BRD-K85606544	33	clinical	EGFR;ERBB2	inhibitor of EGFR and HER2	CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C
418162	BRD1812	BRD-K73261812	66	probe	NA	screening hit	Oc1ccc(C[C@@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1
418163	BRD8958	BRD-K68548958	66	probe	EP300	inhibitor of E1A binding protein p300	CC1=NN(C(=O)C\1=C\c1ccc(o1)-c1cc(C)c(C)cc1[N+]([O-])=O)c1ccc(cc1)C(O)=O
418164	serdemetan	BRD-K60219430	33	clinical	MDM2	inhibitor of MDM2	C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1
418166	daporinad	BRD-K58550667	2	clinical	NAMPT	inhibitor of nicotinamide phosphoribosyltransferase	O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
418167	MK-1775	BRD-K54256913	33	clinical	WEE1	inhibitor of WEE1	CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
418170	tivozanib	BRD-K53414658	33	clinical	FLT1;FLT3;KDR	inhibitor of VEGFRs	COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
418172	Ko-143	BRD-K64642496	130	probe	ABCG2	inhibitor of breast cancer resistance protein multidrug transporter (BCRP)	COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O
418209	CR-1-31B	BRD-K23547378	33	probe	EIF4A2;EIF4E;EIF4G1	silvestrol analog; inhibits translation by modulating the eIF4F complex	CONC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(O[C@]2([C@@H]1c1ccccc1)c1ccc(OC)cc1)cc(OC)cc3OC
425733	BRD-K71781559	BRD-K71781559	66	probe	NA	screening hit	OC(=O)c1ccc(NCc2nc3cc4ccccc4cc3[nH]2)cc1
429535	BRD-K86535717	BRD-K86535717	66	GE-active	NA	product of diversity oriented synthesis	CO[C@@H]1CC[C@H]2CCN(C)C(=O)[C@@H](C)[C@H](CN(C)C(=O)c3cccc(C#N)c3OC[C@H]1O2)OC
431987	BRD-K48334597	BRD-K48334597	66	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)Oc2ccc(NC(=O)Cc3cn(C)c4ccccc34)cc2C1=O
434195	ML312	BRD-K70809902	66	probe	SCARB1	inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake	CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(=O)(=O)c3ccc(Cl)cc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
435086	BRD-K04800985	BRD-K04800985	67	GE-active	NA	product of diversity oriented synthesis	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3c(C)noc3C)cc2C1=O
435898	BRD-K78574327	BRD-K78574327	66	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc2ccc(NS(=O)(=O)c3cn(C)cn3)cc2C1=O
436211	BRD-K19103580	BRD-K19103580	66	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc2ccc(cc2C1=O)N(C)C
437263	BRD-K30019337	BRD-K30019337	66	GE-active	NA	product of diversity oriented synthesis	CC(C)NC(=O)N(C)C[C@H]1Oc2ccc(cc2C(=O)N(C[C@H]1C)[C@H](C)CO)N(C)C
437906	BRD-K84807411	BRD-K84807411	66	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C)Oc2c(NC(=O)c3cc(C)nn3C)cccc2C1=O
438345	BRD-K01737880	BRD-K01737880	66	probe	NA	screening hit	COc1ccc(NC(=O)Nc2ccc3O[C@@H](CN(C)Cc4ccc5OCOc5c4)[C@@H](C)CN([C@@H](C)CO)C(=O)c3c2)cc1
438564	BRD-K44224150	BRD-K44224150	34	GE-active	NA	product of diversity oriented synthesis	CNC[C@@H]1Oc2ccc(NC(=O)C3CCCCC3)cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO
438691	BRD-K75293299	BRD-K75293299	66	GE-active	NA	product of diversity oriented synthesis	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2cccc3ccccc23)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
438776	BRD-K64610608	BRD-K64610608	33	probe	NA	product of diversity oriented synthesis; screening hit	COc1ccc(cc1)S(=O)(=O)N(C)C[C@@H]1Oc2c(NC(=O)Nc3cccc4ccccc34)cccc2C(=O)N(C[C@H]1C)[C@@H](C)CO
439882	BRD-K09344309	BRD-K09344309	33	probe	NA	screening hit	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)Oc2c(NC(=O)c3ccncc3)cccc2C1=O
442141	BRD-K02251932	BRD-K02251932	66	GE-active	NA	product of diversity oriented synthesis	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc2c(NS(=O)(=O)c3ccc(F)cc3)cccc2C1=O
444779	BRD-K55116708	BRD-K55116708	66	probe	NA	product of diversity oriented synthesis; inhibitor of leukemic stem cells	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc2ccccc2N)Oc2c(NC(=O)Nc3ccccc3)cccc2C1=O
446546	BRD-K41334119	BRD-K41334119	66	GE-active	NA	product of diversity oriented synthesis	CNC[C@@H]1Oc2ccc(NS(C)(=O)=O)cc2CC(=O)N(C[C@@H]1C)[C@H](C)CO
